id,description,nombre,familia
3284,"CREMAS SELLO ROJO","CREMAS DE SELLO ROJO",2
3291,"CREMERIA SUZANNE","TRES GENERACIONES ",1
3509,EMBALAJE,"CANASTILLAS Y REJAS",2
3506,"GELATINAS ","GELATINAS DE AGUA Y LECHE ",2
3287,"JUGOS BUEN FRIA","BEBIDAS BUEN FRIA ",2
3507,"JUGOS NECTAR NATURAL","BEBIDA NATURAL ",2
3295,"JUGOS NECTAR UP","NECTAR UP",2
3283,"LECHE BIOPET","LECHE EN BOTELLADA",2
3297,"LECHE BIOPET","LECHE BIOPET",2
3278,"LECHE FRESCA","LECHE REFRIGERADA ",2
3288,"LECHE FRESCA","LECHE FRESCA",2
3282,"LECHE PRISMA","LECHE DE CARTON",2
3296,"LECHE PRISMA","LECHE PRISMA",2
3281,MALTEADAS,MALTEADAS,2
3292,MALTEADAS,"BEBIDAS BIOPET ",2
3286,"TIKITO FRESCO","LECHE SABORIZADA FRESCA",2
3293,"TIKITO UP","LECHE SABORIZADA UP",2
3505,"TRES GENERACIONES ","QUESOS Y CREMAS TRES GENERACIONES ",1
3285,UHT,"LECHE EN BOLSA",2
3280,"YOGURT BATIDO","YOGURT BATIDO",2
3290,"YOGURT BEBIBLE","YOGURT BEBIBLE",2
